Date,Brazil,Russia,India,China,South Africa,USA,USD/BRL,USD/RUB,USD/INR,USD/CNY,USD/ZAR,BRA_CPI,RUS_CPI,IND_CPI,CHN_CPI,ZAF_CPI,US_CPI
5/5/2004,0.018776009,0.069764272,0.031538312,0.114965673,0.015916885,0.161890196,0.349279582,0.095992796,0.14457991,0.999910559,0.086159595,0,0,0,0.016465287,0,0
5/6/2004,0.010531921,0.068083022,0.033437239,0.114965673,0.012811757,0.158854518,0.359888483,0.096748777,0.146700239,0.999910559,0.097281746,0,0,0,0.016465287,0,0
5/7/2004,0.004910952,0.051967264,0.031094758,0.114965673,0.012703933,0.153456596,0.375925195,0.097420761,0.146700239,0.999910559,0.104325775,0,0,0,0.016465287,0,0
5/11/2004,0.00409246,0.039597712,0.021917101,0.109546979,0.007306976,0.149193404,0.379132537,0.097219166,0.165518155,1,0.089866979,0,0,0,0.016465287,0,0
5/12/2004,0.002011715,0.046130855,0.022783649,0.116575732,0.005165522,0.150312454,0.395662686,0.099520708,0.164988073,1,0.093574363,0,0,0,0.016465287,0,0
5/13/2004,0.002761178,0.049215669,0.02388172,0.115355394,0.005450677,0.148813128,0.392948781,0.099352712,0.163265306,0.999955279,0.099142853,0,0,0,0.016465287,0,0
5/14/2004,0.0048222,0.049816476,0.015080057,0.108490009,0.000358514,0.14890591,0.383080036,0.099604706,0.170818977,0.999955279,0.083935165,0,0,0,0.016465287,0,0
5/17/2004,0,0.059595995,0,0.104016093,0.001159297,0.14429032,0.390728313,0.098176742,0.168963689,0.999955279,0.086901072,0,0,0,0.016465287,0,0
5/18/2004,0.004279826,0.061393367,0.009930177,0.107063001,0,0.1469736,0.392702063,0.098126343,0.167771005,0.999910559,0.087086441,0,0,0,0.016465287,0,0
5/19/2004,0.005581524,0.069173562,0.013377139,0.107623963,0.006597651,0.14563196,0.393442218,0.097991946,0.160747416,0.999821117,0.084313318,0,0,0,0.016465287,0,0
5/20/2004,0.001163639,0.067032873,0.011401304,0.105807234,0.005798408,0.145628911,0.412686273,0.098159942,0.163000265,0.999910559,0.084676642,0,0,0,0.016465287,0,0
5/21/2004,0.0016074,0.065089086,0.012188006,0.107631836,0.007882099,0.146896499,0.408245337,0.097790351,0.163265306,0.999910559,0.082363235,0,0,0,0.016465287,0,0
5/24/2004,0.005394158,0.067795241,0.016504987,0.106061143,0.004642192,0.146534518,0.404791276,0.097991946,0.164457991,0.999910559,0.07758071,0,0,0,0.016465287,0,0
5/25/2004,0.007277676,0.061029854,0.015943934,0.099703576,0.005848469,0.153468792,0.394675812,0.097807151,0.164855553,0.999821117,0.072813014,0,0,0,0.016465287,0,0
5/26/2004,0.009338698,0.066538091,0.015402643,0.100961311,0.008711956,0.153132076,0.400597059,0.097807151,0.166048237,0.999821117,0.071708214,0,0,0,0.016465287,0,0
5/27/2004,0.015896495,0.058222723,0.014777767,0.107405483,0.01232347,0.157283754,0.390481595,0.098462335,0.166180758,0.999776396,0.069068557,0,0,0,0.016465287,0,0
5/28/2004,0.015235785,0.042899625,0.008818486,0.105740312,0.010765419,0.156554129,0.383080036,0.098613531,0.167240922,0.999821117,0.065850548,0,0,0,0.016465287,0,0
6/1/2004,0.014042562,0.02991412,0.008811276,0.111830192,0.010789487,0.157172677,0.396402842,0.098764727,0.167108402,0.999731676,0.059466433,0.00532065,0.003238138,0.003935182,0.003639695,0.000691185,0.008623415
6/2/2004,0.015728852,0.035341576,0.011176456,0.109352119,0.010970669,0.1598002,0.393688937,0.098815126,0.165783196,0.999731676,0.068364154,0.00532065,0.003238138,0.003935182,0.003639695,0.000691185,0.008623415
6/3/2004,0.012602805,0.036558336,0.008353835,0.104718771,0.00925454,0.156879084,0.39862331,0.099352712,0.161012457,0.999776396,0.062513903,0.00532065,0.003238138,0.003935182,0.003639695,0.000691185,0.008623415
6/4/2004,0.01673471,0.034983112,0.010250092,0.104435338,0.008534047,0.158922472,0.392702063,0.098865524,0.158362046,0.999731676,0.061690864,0.00532065,0.003238138,0.003935182,0.003639695,0.000691185,0.008623415
