Date,Brazil,Russia,India,China,South Africa,USA
4/5/2004,23146,764.34,5838.02,1766.48,10862.17,10558.37
4/6/2004,23072,750.03,5822.42,1777.52,10904.04,10570.81
4/7/2004,22443,762.33,5815.13,1774.55,10825.83,10480.15
4/8/2004,22725,774.04,5838.45,1770.28,10846.37,10442.03
4/13/2004,22620,763.57,5904.52,1715.14,10979.56,10381.28
4/15/2004,21739,736.82,5843.97,1679.08,10828.19,10397.46
4/16/2004,21769,731.3,5862.82,1693.86,10757.16,10451.97
4/19/2004,21627,726.57,5800.54,1675.89,10705.81,10437.85
4/20/2004,21078,716.84,5804.81,1669.42,10764.85,10314.5
4/22/2004,21142,680.09,5924.18,1657.79,10667.48,10461.2
4/23/2004,21590,679.59,5925.58,1635.5,10639,10472.84
4/28/2004,20474,670.53,5713.09,1606.8,10611.52,10342.6
4/29/2004,19865,636.09,5668.43,1579.45,10526.55,10272.27
4/30/2004,19607,631.11,5655.09,1595.59,10385.8,10225.57
5/5/2004,20026,636.38,5686.19,1595.59,10574.77,10310.95
5/6/2004,19190,633.05,5757.3,1595.59,10413.5,10241.26
5/7/2004,18620,601.13,5669.58,1595.59,10407.9,10117.34
5/11/2004,18537,576.63,5325.9,1568.06,10127.6,10019.47
5/12/2004,18326,589.57,5358.35,1603.77,10016.38,10045.16
5/13/2004,18402,595.68,5399.47,1597.57,10031.19,10010.74
5/14/2004,18611,596.87,5069.87,1562.69,9766.72,10012.87
5/17/2004,18122,616.24,4505.16,1539.96,9808.31,9906.91
5/18/2004,18556,619.8,4877.02,1555.44,9748.1,9968.51
5/19/2004,18688,635.21,5006.1,1558.29,10090.76,9937.71
5/20/2004,18240,630.97,4932.11,1549.06,10049.25,9937.64
5/21/2004,18285,627.12,4961.57,1558.33,10157.47,9966.74
5/24/2004,18669,632.48,5123.23,1550.35,9989.2,9958.43
5/25/2004,18860,619.08,5102.22,1518.05,10051.85,10117.62
5/26/2004,19069,629.99,5081.95,1524.44,10200.57,10109.89
5/27/2004,19734,613.52,5058.55,1557.18,10388.14,10205.2
5/28/2004,19667,583.17,4835.39,1548.72,10307.22,10188.45
6/1/2004,19546,557.45,4835.12,1579.66,10308.47,10202.65
6/2/2004,19717,568.2,4923.69,1567.07,10317.88,10262.97
6/3/2004,19400,570.61,4817.99,1543.53,10228.75,10195.91
6/4/2004,19819,567.49,4889,1542.09,10191.33,10242.82
6/7/2004,20447,576.27,4938.15,1517.15,10366.11,10391.08
6/8/2004,20284,586.08,4962.63,1493.81,10483.79,10432.52
6/9/2004,19865,589.7,4963.75,1468.07,10419.52,10368.44
6/15/2004,20047,542.57,4814.85,1463.78,10100.9,10380.43
6/17/2004,20335,587.1,4839.88,1445.5,10182.3,10377.52
6/18/2004,20333,600.86,4769.99,1427.3,10179.44,10416.41
6/21/2004,20293,618.36,4738.62,1433.47,10109.52,10371.47
6/22/2004,20199,609.27,4735.86,1450.68,10043.95,10395.07
6/23/2004,20836,603.13,4644,1440.73,9982.09,10479.57
6/24/2004,20708,601.09,4708.55,1427.75,10188.87,10443.81
6/25/2004,20750,599.97,4756.39,1401.11,10220.14,10371.84
6/28/2004,20351,589.9,4837.6,1385.18,10152.05,10357.09
6/29/2004,20801,576.23,4841.38,1408.69,10129.88,10413.43
6/30/2004,21149,583.32,4795.46,1399.16,10108.61,10435.48
7/1/2004,21349,585.15,4874.05,1441.07,10138.23,10334.16
7/2/2004,21568,566.45,4870.58,1441.19,10053.47,10282.83
7/6/2004,21188,564.86,4928.59,1450.5,10083.93,10219.34
7/7/2004,21171,572.34,4955.97,1438.4,10037.74,10240.29
7/8/2004,20887,573.9,4843.84,1439.78,9942.76,10171.56
7/12/2004,21532,574.32,4944.54,1397.15,10029.16,10238.22
7/13/2004,21677,590.28,4898.99,1399.46,10173.05,10247.59
7/14/2004,21673,588.67,4848.3,1403.76,10099.28,10208.8
7/15/2004,22065,593.74,4888.19,1421.54,10131.11,10163.16
7/16/2004,22447,592.28,4951.17,1456.13,10018.07,10139.78
7/19/2004,22102,604.13,4975.4,1457.54,9904.92,10094.06
7/20/2004,22361,585.1,4957.88,1447.94,9911.43,10149.07
7/21/2004,21810,575.7,4993.76,1448.04,10131.27,10046.13
7/22/2004,21730,553.79,5054.29,1407.44,9989.22,10050.33
7/23/2004,21591,565.77,5073.34,1407.4,10063.79,9962.22
7/26/2004,21318,555.13,5118.17,1387.67,10072.86,9961.92
7/27/2004,21737,550.56,5075.88,1384.13,10163.43,10085.14
7/28/2004,22168,518.15,5070.29,1388.81,10228.52,10117.07
7/29/2004,22228,526.64,5120.45,1407.33,10245.15,10129.24
7/30/2004,22337,540.27,5170.32,1386.2,10305.89,10139.71
8/2/2004,22448,545.81,5202.53,1373.22,10360.19,10179.16
8/3/2004,22373,545.52,5194.63,1366.37,10433.17,10120.24
8/4/2004,22178,547.1,5169.07,1404.51,10447.73,10126.51
8/5/2004,21330,548.2,5252.78,1389.04,10419.49,9963.03
8/6/2004,21653,539.05,5196.99,1390.46,10227.51,9815.33
8/10/2004,21737,544.48,5252.05,1400.77,10180.41,9944.67
8/11/2004,21570,537.05,5175.16,1384.96,10154.3,9938.32
8/12/2004,21570,539.01,5139.77,1368.2,10496.33,9814.59
8/13/2004,21401,555.37,5102.92,1368.45,10567.57,9825.35
8/16/2004,21764,558.64,5102.37,1354.51,10823.87,9954.55
8/17/2004,22061,560.67,5102.94,1360.2,10745.53,9972.83
8/18/2004,22779,546.11,5038.28,1358.22,10687.33,10083.15
8/19/2004,22935,547.69,5123.65,1340.45,10881.24,10040.82
8/20/2004,23196,551.69,5064.66,1341.74,10938.15,10110.14
8/23/2004,22852,548.52,5033.69,1325.41,11166.09,10073.05
8/24/2004,22870,557.34,5067.39,1344.63,11042.21,10098.63
8/25/2004,23058,558.49,5088.56,1339.78,10970.4,10181.74
8/26/2004,22582,563.52,5135.45,1334.42,11017.06,10173.41
8/27/2004,22597,575.1,5117.01,1320.61,11163.35,10195.01
8/30/2004,22869,575.28,5186.45,1319.53,11158,10122.52
8/31/2004,22803,584.65,5192.08,1342.06,11160.44,10173.92
9/1/2004,22513,583.67,5210.85,1321.46,11145.12,10168.46
9/2/2004,22688,587.01,5198.72,1327.93,11152.19,10290.28
9/3/2004,22415,589.24,5218.46,1327.12,11223.91,10260.2
9/8/2004,22534,596.02,5298.16,1309.33,11183.74,10313.36
9/9/2004,22286,600.41,5298.23,1284.31,11253.61,10289.1
9/10/2004,21968,604.5,5370.05,1287.08,11226.82,10313.07
9/13/2004,21809,605.65,5397.46,1260.32,11232.22,10314.76
9/14/2004,22309,612.49,5428.77,1300.36,11266.42,10318.16
9/15/2004,22344,612.04,5420.09,1355.23,11219.67,10231.36
9/16/2004,22876,615.5,5477.68,1371.2,11412.55,10244.49
9/17/2004,23074,612.22,5561.15,1414.7,11513.26,10284.46
9/20/2004,23078,612.58,5545.82,1463.22,11459.78,10204.89
9/21/2004,23106,621.5,5605.93,1448.56,11513.85,10244.93
9/22/2004,22749,624.6,5616.87,1420.15,11559.78,10109.18
9/23/2004,22944,623.88,5539.48,1464.78,11515.07,10038.9
9/27/2004,22834,627.11,5511.81,1427.4,11451.13,9988.54
9/28/2004,23231,629.14,5462.61,1435.59,11602.38,10077.4
9/29/2004,23208,631.58,5527.56,1420.01,11709.7,10136.24
9/30/2004,23245,631.65,5583.61,1396.7,11761,10080.27
10/1/2004,23777,648.28,5675.54,1396.7,11871.82,10192.65
10/4/2004,24150,663.26,5766.3,1396.7,11795.02,10216.54
10/5/2004,24205,674.36,5758.67,1396.7,11857.01,10177.68
10/6/2004,24027,679.01,5713.75,1396.7,11925,10239.92
10/7/2004,24104,689.01,5773.66,1396.7,12087.27,10125.4
10/8/2004,23927,690.6,5776.85,1422.93,12115.36,10055.2
10/11/2004,23954,690.52,5717.54,1413.15,12063.11,10081.97
10/14/2004,22959,662.19,5713.1,1332.94,11816.87,9894.45
10/15/2004,23368,658.96,5686.73,1330.52,11834.82,9933.38
10/18/2004,23411,668.52,5679.83,1335.39,11741.57,9956.32
10/19/2004,22893,668.23,5738.11,1337.62,11692.71,9897.62
10/20/2004,22873,641.19,5673.02,1330.58,11604.06,9886.93
10/21/2004,23059,638.77,5641.06,1310.55,11655.85,9865.76
10/25/2004,22603,649.21,5581.49,1311.15,11622.43,9749.99
10/26/2004,22849,653.23,5651.09,1324.78,11793.27,9888.48
10/27/2004,23171,668.64,5662.87,1342.8,11796.63,10002.03
10/28/2004,22929,657.66,5715.62,1341.74,11629.78,10004.54
10/29/2004,23052,663.67,5672.27,1320.54,11655.31,10027.47
11/1/2004,23273,665.71,5704.1,1305.29,11768.52,10054.39
11/3/2004,23660,657.69,5842.54,1326.75,11845.39,10137.05
11/4/2004,23880,662.65,5832.88,1304.78,11892.73,10314.76
11/5/2004,23542,670.84,5891.36,1305.13,12062.85,10387.54
11/9/2004,23216,674.37,5929.6,1307.43,12229.63,10386.37
11/10/2004,23455,664.87,5973.75,1354.39,12190.21,10385.48
11/11/2004,23521,660.85,5954.31,1347.07,12322.14,10469.84
11/12/2004,24035,664.73,5964.01,1352.22,12212.87,10539.01
11/16/2004,23772,665.38,5996.7,1370.39,12215.2,10487.65
11/17/2004,24170,673.06,6016.58,1356.14,12251.62,10549.57
11/18/2004,24143,681.87,6025.47,1367.83,12352.84,10572.55
11/19/2004,24034,655.44,5961.71,1379.96,12337.31,10456.91
11/22/2004,24445,662.3,5963.8,1383.02,12236.5,10489.42
11/23/2004,24340,653.97,6009.86,1371.24,12246.28,10492.6
11/24/2004,24368,648.25,6035.95,1359.13,12283.61,10520.31
11/29/2004,24855,631.87,6157.77,1337.43,12513.26,10475.9
11/30/2004,25128,627.98,6234.29,1340.77,12490.79,10428.02
12/1/2004,25235,611.07,6227.83,1334.94,12577.93,10590.22
12/2/2004,25200,604.65,6328.43,1333.09,12608,10585.12
12/3/2004,25468,595.39,6322.76,1337.2,12500.26,10592.21
12/6/2004,25633,596.43,6322.5,1339.64,12306.22,10547.06
12/7/2004,24989,607.55,6316.28,1323.75,12313.01,10440.58
12/8/2004,24968,574.09,6261.52,1326.44,12205.18,10494.23
12/9/2004,24526,546.11,6304.27,1338.81,12146.2,10552.82
12/10/2004,24933,545.52,6233.54,1317.72,12135.49,10543.22
12/14/2004,25563,563.55,6325.53,1307.55,12219.59,10676.45
