Date,Brazil,Russia,India,China,South Africa,USA,DC,DG
5/6/2004,-0.018519237,-0.002278509,0.005397493,0,-0.006674209,-0.004725723,0,0
5/7/2004,-0.013095298,-0.022469611,-0.006667972,0,-0.000233611,-0.008047104,0,0
5/11/2004,0.02242809,-0.018071169,-0.018356722,0.002177949,0.002700959,0.003400267,0,0
5/12/2004,-0.004971768,0.009638143,0.00263807,0.00977914,-0.004795748,0.000701104,0,0
5/13/2004,0.001797344,0.004477642,0.003320055,-0.001681647,0.000641664,-0.001141061,0,0
5/14/2004,0.004904683,0.000866732,-0.027354309,-0.009587608,-0.011603719,-8.56E-05,0,0
5/17/2004,-0.011563583,0.013870134,-0.051286604,-0.00636312,0.001845446,-0.004310195,0,0
5/18/2004,0.010278238,0.002501687,0.034444317,0.004344673,-0.002674208,0.003148604,0,0
5/19/2004,0.003078462,0.010665755,0.011344984,0.000793618,0.015003901,0.000734929,0,0
5/20/2004,-0.010537991,-0.002908616,-0.006466767,-0.002578914,-0.001790226,-0.000694084,0,0
5/21/2004,0.001070131,-0.002658059,0.002586369,0.002590889,0.004651898,0.002139515,0,0
5/24/2004,0.009026091,0.003696146,0.01392473,-0.00223022,-0.00725484,0.00178701,0,0
5/25/2004,0.004420633,-0.009300023,-0.001784673,-0.009144541,0.002715291,0.006478066,0,0
5/26/2004,0.00478623,0.007586882,-0.001728793,0.001824548,0.006378441,0.000392979,0,0
5/27/2004,0.014887205,-0.011504931,-0.002004341,0.009229047,0.007913353,0.003840558,0,0
5/28/2004,-0.001477006,-0.02203355,-0.019594539,-0.002364773,-0.003396248,-0.000507324,0,0
6/1/2004,2.22E-05,-0.018022534,0.006834976,0.006579703,-0.004415438,0.000169392,0,0
6/2/2004,0.003782942,0.00829531,0.007883444,-0.00347549,0.000396261,0.001276109,0,0
6/3/2004,-0.007039107,0.001838149,-0.009424807,-0.006573345,-0.003767908,-0.003325466,0,0
6/4/2004,0.009280008,-0.002381165,0.006354143,-0.000405613,-0.0015917,0.003161234,0,0
6/7/2004,0.013547859,0.006667798,0.004344241,-0.007081515,0.007384949,0.007087428,0,0
6/8/2004,-0.003475995,0.00733089,0.002147619,-0.006730581,0.0049025,-0.000491024,0,0
